Metrics/EnvironmentSteps,Metrics/AverageReturn
1410,-1.3803406858912837
1413,-1.0157046571706478
1415,-1.9233648399273324
1417,-1.9235056879895578
1420,-1.6702791675709863
1423,-1.6632748221844942
1426,-1.6369972591028699
1431,-1.3774654843291338
1434,-1.634840386927534
1438,-1.4807209437697093
1441,-1.6639306855524392
1444,-1.6819396260843693
1446,-1.9234022967091087
1448,-2.008620886880462
1451,-0.9797392795466298
1454,-1.6654347445841067
1457,-1.6653994240705992
1461,-1.475948495951875
1465,-1.4607883040094334
1467,-1.9239289055468762
1470,-1.640697712297558
1472,-2.0058476847403064
1475,-0.9818685822058377
1479,-1.4034092918740786
1481,-1.9940690074324605
1483,-2.0085272534633463
1486,-1.6357600731302355
1488,-2.0057599907833477
1493,-1.3167033106863046
1498,-1.386635169920448
1503,-1.3197647594770525
1506,-1.6366667625742028
1510,-1.4911469408613685
1514,-1.4609650741458093
1517,-0.9956945097188923
1520,-1.6718712558300177
1522,-1.9568826626924989
1525,-1.6346043470641447
1529,-1.4048429531833007
1531,-2.0058591612994503
1533,-1.9245840825640808
1535,-2.008626810741069
1537,-1.9595165145013143
1540,-1.015556231550275
1545,-1.3533049363243166
1548,-1.6255604688688434
1551,-0.9179497849653329
1555,-0.991042505437829
1561,-1.2940689700477324
1563,-1.924684842632776
1565,-2.008601287621813
1567,-2.0057797886127204
1571,-1.4583476605150802
1575,-1.4838084958029243
1579,-1.4802308023440165
1586,-1.2799830729367907
1591,-1.3557459450801401
1594,-1.018332621345427
1598,-1.4024964461683331
1601,-1.6166373972138957
1604,-1.6704275049075015
1609,-1.3794585993438742
1612,-1.6402246637163733
1617,-1.3241932524991895
1622,-1.3228620981362371
1625,-1.6379084608700818
1628,-1.6390060714555172
1630,-1.9241056955037934
1635,-1.3817718986510363
1640,-1.345532904846669
1644,-1.5026651047462978
1647,-1.6022494130522718
1650,-1.6411041895436194
1655,-1.3735698461506751
1660,-1.3694136811983766
1663,-1.0184152854928237
1666,-1.640825952005361
1669,-1.6387759481555453
1671,-1.9609343985664511
1674,-1.6170236784333352
1676,-2.0085808567062666
1679,-1.6718240018515445
1681,-1.9233815153976037
1685,-1.4571289267188727
1688,-1.6402780508136647
1693,-1.369882330317898
1697,-1.5172064161305943
1702,-1.380560157423665
1706,-0.9907651540606257
1712,-1.3272048283549587
1714,-1.92352657039135
1719,-1.375263432235982
1723,-1.5172371338882686
